task,dataset,n_features,n_classes,n_cal,seed,significance,n_neighbors,normalize_guard,regression_mode,threshold_value,explanation_type,n_test_instances,mean_standard_rules_per_instance,mean_guarded_rules_per_instance,guard_retention_rate,fraction_instances_fully_filtered,n_instances_fully_filtered,task_skipped,skip_reason,error
binary,german,27,2,300,2,0.1,5,True,cls,,factual,100,11.31,10.43,0.8861512319456245,0.11,11,False,,
binary,german,27,2,300,2,0.1,5,True,cls,,alternative,100,5.47,13.68,0.768107804604155,0.11,11,False,,
binary,german,27,2,300,2,0.2,5,True,cls,,factual,100,11.31,9.21,0.7095531587057011,0.21,21,False,,
binary,german,27,2,300,2,0.2,5,True,cls,,alternative,100,5.47,12.5,0.6215813028344107,0.15,15,False,,
binary,german,27,2,500,2,0.05,5,True,cls,,factual,100,13.66,13.22,0.9422665716322167,0.03,3,False,,
binary,german,27,2,500,2,0.05,5,True,cls,,alternative,100,6.26,14.9,0.8975903614457831,0.02,2,False,,
binary,german,27,2,500,2,0.1,5,True,cls,,factual,100,13.66,12.58,0.8865398167723749,0.05,5,False,,
binary,german,27,2,500,2,0.1,5,True,cls,,alternative,100,6.26,14.26,0.7869757174392936,0.03,3,False,,
binary,german,27,2,500,2,0.2,5,True,cls,,factual,100,13.66,9.72,0.6937901498929336,0.13,13,False,,
binary,german,27,2,500,2,0.2,5,True,cls,,alternative,100,6.26,11.34,0.5444071051368219,0.09,9,False,,
binary,ttt,27,2,100,0,0.05,5,True,cls,,factual,100,23.66,22.16,1.0,0.0,0,False,,
binary,ttt,27,2,100,0,0.05,5,True,cls,,alternative,100,8.05,22.16,0.9326599326599326,0.0,0,False,,
binary,ttt,27,2,100,0,0.1,5,True,cls,,factual,100,23.66,22.16,1.0,0.0,0,False,,
binary,ttt,27,2,100,0,0.1,5,True,cls,,alternative,100,8.05,22.16,0.9326599326599326,0.0,0,False,,
binary,ttt,27,2,100,0,0.2,5,True,cls,,factual,100,23.66,22.16,1.0,0.0,0,False,,
binary,ttt,27,2,100,0,0.2,5,True,cls,,alternative,100,8.05,22.16,0.9326599326599326,0.0,0,False,,
binary,ttt,27,2,300,0,0.05,5,True,cls,,factual,100,25.2,22.96,1.0,0.0,0,False,,
binary,ttt,27,2,300,0,0.05,5,True,cls,,alternative,100,8.42,22.96,0.9057199211045365,0.0,0,False,,
binary,ttt,27,2,300,0,0.1,5,True,cls,,factual,100,25.2,22.96,1.0,0.0,0,False,,
binary,ttt,27,2,300,0,0.1,5,True,cls,,alternative,100,8.42,22.96,0.9057199211045365,0.0,0,False,,
binary,ttt,27,2,300,0,0.2,5,True,cls,,factual,100,25.2,22.96,1.0,0.0,0,False,,
binary,ttt,27,2,300,0,0.2,5,True,cls,,alternative,100,8.42,22.96,0.9057199211045365,0.0,0,False,,
binary,ttt,27,2,500,0,0.05,5,True,cls,,factual,100,25.69,1.17,1.0,0.34,34,False,,
binary,ttt,27,2,500,0,0.05,5,True,cls,,alternative,100,8.59,1.17,0.043542984741347227,0.34,34,False,,
binary,ttt,27,2,500,0,0.1,5,True,cls,,factual,100,25.69,1.17,1.0,0.34,34,False,,
binary,ttt,27,2,500,0,0.1,5,True,cls,,alternative,100,8.59,1.17,0.043542984741347227,0.34,34,False,,
binary,ttt,27,2,500,0,0.2,5,True,cls,,factual,100,25.69,1.17,1.0,0.34,34,False,,
binary,ttt,27,2,500,0,0.2,5,True,cls,,alternative,100,8.59,1.17,0.043542984741347227,0.34,34,False,,
binary,ttt,27,2,100,1,0.05,5,True,cls,,factual,100,24.04,22.88,1.0,0.0,0,False,,
binary,ttt,27,2,100,1,0.05,5,True,cls,,alternative,100,8.19,22.88,0.9474120082815735,0.0,0,False,,
binary,ttt,27,2,100,1,0.1,5,True,cls,,factual,100,24.04,22.88,1.0,0.0,0,False,,
binary,ttt,27,2,100,1,0.1,5,True,cls,,alternative,100,8.19,22.88,0.9474120082815735,0.0,0,False,,
binary,ttt,27,2,100,1,0.2,5,True,cls,,factual,100,24.04,22.88,1.0,0.0,0,False,,
binary,ttt,27,2,100,1,0.2,5,True,cls,,alternative,100,8.19,22.88,0.9474120082815735,0.0,0,False,,
binary,ttt,27,2,300,1,0.05,5,True,cls,,factual,100,25.69,24.61,1.0,0.0,0,False,,
binary,ttt,27,2,300,1,0.05,5,True,cls,,alternative,100,8.6,24.61,0.9557281553398058,0.0,0,False,,
binary,ttt,27,2,300,1,0.1,5,True,cls,,factual,100,25.69,24.61,1.0,0.0,0,False,,
binary,ttt,27,2,300,1,0.1,5,True,cls,,alternative,100,8.6,24.61,0.9557281553398058,0.0,0,False,,
binary,ttt,27,2,300,1,0.2,5,True,cls,,factual,100,25.69,24.61,1.0,0.0,0,False,,
binary,ttt,27,2,300,1,0.2,5,True,cls,,alternative,100,8.6,24.61,0.9557281553398058,0.0,0,False,,
binary,ttt,27,2,500,1,0.05,5,True,cls,,factual,100,25.65,1.13,1.0,0.41,41,False,,
binary,ttt,27,2,500,1,0.05,5,True,cls,,alternative,100,8.62,1.13,0.041976225854383355,0.41,41,False,,
binary,ttt,27,2,500,1,0.1,5,True,cls,,factual,100,25.65,1.13,1.0,0.41,41,False,,
binary,ttt,27,2,500,1,0.1,5,True,cls,,alternative,100,8.62,1.13,0.041976225854383355,0.41,41,False,,
binary,ttt,27,2,500,1,0.2,5,True,cls,,factual,100,25.65,1.13,1.0,0.41,41,False,,
binary,ttt,27,2,500,1,0.2,5,True,cls,,alternative,100,8.62,1.13,0.041976225854383355,0.41,41,False,,
binary,ttt,27,2,100,2,0.05,5,True,cls,,factual,100,22.71,21.85,1.0,0.0,0,False,,
binary,ttt,27,2,100,2,0.05,5,True,cls,,alternative,100,7.71,21.85,0.9516550522648084,0.0,0,False,,
binary,ttt,27,2,100,2,0.1,5,True,cls,,factual,100,22.71,21.85,1.0,0.0,0,False,,
binary,ttt,27,2,100,2,0.1,5,True,cls,,alternative,100,7.71,21.85,0.9516550522648084,0.0,0,False,,
binary,ttt,27,2,100,2,0.2,5,True,cls,,factual,100,22.71,21.85,1.0,0.0,0,False,,
binary,ttt,27,2,100,2,0.2,5,True,cls,,alternative,100,7.71,21.85,0.9516550522648084,0.0,0,False,,
binary,ttt,27,2,300,2,0.05,5,True,cls,,factual,100,24.17,22.27,1.0,0.0,0,False,,
binary,ttt,27,2,300,2,0.05,5,True,cls,,alternative,100,8.23,22.27,0.9104660670482421,0.0,0,False,,
binary,ttt,27,2,300,2,0.1,5,True,cls,,factual,100,24.17,22.27,1.0,0.0,0,False,,
binary,ttt,27,2,300,2,0.1,5,True,cls,,alternative,100,8.23,22.27,0.9104660670482421,0.0,0,False,,
binary,ttt,27,2,300,2,0.2,5,True,cls,,factual,100,24.17,0.15,0.02092050209205021,0.88,88,False,,
binary,ttt,27,2,300,2,0.2,5,True,cls,,alternative,100,8.23,0.15,0.005559673832468495,0.88,88,False,,
binary,ttt,27,2,500,2,0.05,5,True,cls,,factual,100,25.15,0.96,0.64,0.44,44,False,,
binary,ttt,27,2,500,2,0.05,5,True,cls,,alternative,100,8.39,0.96,0.035634743875278395,0.44,44,False,,
binary,ttt,27,2,500,2,0.1,5,True,cls,,factual,100,25.15,0.96,0.64,0.44,44,False,,
binary,ttt,27,2,500,2,0.1,5,True,cls,,alternative,100,8.39,0.96,0.035634743875278395,0.44,44,False,,
binary,ttt,27,2,500,2,0.2,5,True,cls,,factual,100,25.15,0.96,0.64,0.44,44,False,,
binary,ttt,27,2,500,2,0.2,5,True,cls,,alternative,100,8.39,0.96,0.035634743875278395,0.44,44,False,,
binary,colic,59,2,0,,,,,,,,0,,,,,-1,True,not enough remaining samples after test (257 < 500 cal + 100 train),
binary,pc4,37,2,100,0,0.05,5,True,cls,,factual,100,25.82,26.63,0.9227304227304227,0.05,5,False,,
binary,pc4,37,2,100,0,0.05,5,True,cls,,alternative,100,38.75,62.51,0.8844086021505376,0.05,5,False,,
binary,pc4,37,2,100,0,0.1,5,True,cls,,factual,100,25.82,25.5,0.8851093370357515,0.08,8,False,,
binary,pc4,37,2,100,0,0.1,5,True,cls,,alternative,100,38.75,59.6,0.8193566125927962,0.07,7,False,,
binary,pc4,37,2,100,0,0.2,5,True,cls,,factual,100,25.82,24.83,0.8703119523308798,0.1,10,False,,
binary,pc4,37,2,100,0,0.2,5,True,cls,,alternative,100,38.75,58.07,0.7730298189563365,0.1,10,False,,
binary,pc4,37,2,300,0,0.05,5,True,cls,,factual,100,28.82,28.29,0.9386197743861977,0.05,5,False,,
binary,pc4,37,2,300,0,0.05,5,True,cls,,alternative,100,39.93,90.94,0.9065895723257901,0.05,5,False,,
binary,pc4,37,2,300,0,0.1,5,True,cls,,factual,100,28.82,27.27,0.9068839374792151,0.05,5,False,,
binary,pc4,37,2,300,0,0.1,5,True,cls,,alternative,100,39.93,87.32,0.8499951328725786,0.05,5,False,,
binary,pc4,37,2,300,0,0.2,5,True,cls,,factual,100,28.82,23.1,0.7666777298373714,0.18,18,False,,
binary,pc4,37,2,300,0,0.2,5,True,cls,,alternative,100,39.93,73.16,0.6504845736640882,0.12,12,False,,
binary,pc4,37,2,500,0,0.05,5,True,cls,,factual,100,28.82,28.51,0.939064558629776,0.05,5,False,,
binary,pc4,37,2,500,0,0.05,5,True,cls,,alternative,100,38.26,95.48,0.9030549512910243,0.04,4,False,,
binary,pc4,37,2,500,0,0.1,5,True,cls,,factual,100,28.82,27.25,0.9132037533512064,0.07,7,False,,
binary,pc4,37,2,500,0,0.1,5,True,cls,,alternative,100,38.26,92.06,0.8475418891548517,0.05,5,False,,
binary,pc4,37,2,500,0,0.2,5,True,cls,,factual,100,28.82,22.84,0.7649028801071668,0.18,18,False,,
binary,pc4,37,2,500,0,0.2,5,True,cls,,alternative,100,38.26,73.17,0.627906976744186,0.11,11,False,,
binary,pc4,37,2,100,1,0.05,5,True,cls,,factual,100,22.29,23.64,0.9414575866188769,0.03,3,False,,
binary,pc4,37,2,100,1,0.05,5,True,cls,,alternative,100,34.37,56.85,0.9164920199903273,0.03,3,False,,
binary,pc4,37,2,100,1,0.1,5,True,cls,,factual,100,22.29,22.64,0.8969889064976229,0.07,7,False,,
binary,pc4,37,2,100,1,0.1,5,True,cls,,alternative,100,34.37,54.47,0.8460702081391737,0.05,5,False,,
binary,pc4,37,2,100,1,0.2,5,True,cls,,factual,100,22.29,19.7,0.7282809611829945,0.18,18,False,,
binary,pc4,37,2,100,1,0.2,5,True,cls,,alternative,100,34.37,47.48,0.6237519705727799,0.17,17,False,,
binary,pc4,37,2,300,1,0.05,5,True,cls,,factual,100,23.08,26.89,0.9620751341681574,0.02,2,False,,
binary,pc4,37,2,300,1,0.05,5,True,cls,,alternative,100,38.19,89.38,0.9276595744680851,0.01,1,False,,
