arm,strategy,dataset,seed,n_cal_target,n_cal,n_test,epsilon,confidence,coverage,lower_ci,upper_ci,violation,structural_violation,reject_rate,singleton_precision,singleton_recall,singleton_correct_count,singleton_count,singleton_precision_recall_defined
A,builtin.default,creditA,45,200,200,138,0.05,0.95,0.9130434782608695,0.8530309325471026,0.9542588878502754,True,False,0.2536231884057971,0.883495145631068,0.6594202898550725,91,103,True
C,experimental.difficulty_normalized,creditA,45,200,200,138,0.05,0.95,0.8985507246376812,0.835645067189976,0.9434176941613966,True,True,0.2246376811594203,0.8691588785046729,0.6739130434782609,93,107,True
A,builtin.default,creditA,45,200,200,138,0.1,0.9,0.8478260869565217,0.7768399612484705,0.903265566217757,True,False,0.007246376811594203,0.8467153284671532,0.8405797101449275,116,137,True
C,experimental.difficulty_normalized,creditA,45,200,200,138,0.1,0.9,0.8478260869565217,0.7768399612484705,0.903265566217757,True,False,0.021739130434782608,0.8444444444444444,0.8260869565217391,114,135,True
A,builtin.default,creditA,45,400,400,138,0.05,0.95,0.8840579710144928,0.818553104790822,0.9322568374110942,True,True,0.18840579710144928,0.8571428571428571,0.6956521739130435,96,112,True
C,experimental.difficulty_normalized,creditA,45,400,400,138,0.05,0.95,0.8695652173913043,0.801709807577353,0.9208285683621928,True,True,0.18115942028985507,0.8407079646017699,0.6884057971014492,95,113,True
A,builtin.default,creditA,45,400,400,138,0.1,0.9,0.8478260869565217,0.7768399612484705,0.903265566217757,True,False,0.036231884057971016,0.8421052631578947,0.8115942028985508,112,133,True
C,experimental.difficulty_normalized,creditA,45,400,400,138,0.1,0.9,0.8405797101449275,0.7686429104424255,0.8973130520934876,True,True,0.014492753623188406,0.8382352941176471,0.8260869565217391,114,136,True
A,builtin.default,creditA,46,50,50,138,0.05,0.95,0.9492753623188406,0.8982810319482651,0.9793656359310434,True,False,0.2463768115942029,0.9326923076923077,0.7028985507246377,97,104,True
C,experimental.difficulty_normalized,creditA,46,50,50,138,0.05,0.95,0.8913043478260869,0.8270655092092569,0.9378735516257146,True,True,0.13043478260869565,0.875,0.7608695652173914,105,120,True
A,builtin.default,creditA,46,50,50,138,0.1,0.9,0.8260869565217391,0.7523734629400928,0.8852770730454169,True,True,0.014492753623188406,0.8382352941176471,0.8260869565217391,114,136,True
C,experimental.difficulty_normalized,creditA,46,50,50,138,0.1,0.9,0.8333333333333334,0.7604881175699686,0.891316107317931,True,True,0.07246376811594203,0.875,0.8115942028985508,112,128,True
A,builtin.default,creditA,46,100,100,138,0.05,0.95,0.9492753623188406,0.8982810319482651,0.9793656359310434,True,False,0.2028985507246377,0.9363636363636364,0.7463768115942029,103,110,True
C,experimental.difficulty_normalized,creditA,46,100,100,138,0.05,0.95,0.927536231884058,0.8707743093020052,0.9647054469356416,True,False,0.2028985507246377,0.9090909090909091,0.7246376811594203,100,110,True
A,builtin.default,creditA,46,100,100,138,0.1,0.9,0.927536231884058,0.8707743093020052,0.9647054469356416,False,False,0.14492753623188406,0.9152542372881356,0.782608695652174,108,118,True
C,experimental.difficulty_normalized,creditA,46,100,100,138,0.1,0.9,0.9130434782608695,0.8530309325471026,0.9542588878502754,False,False,0.15217391304347827,0.8974358974358975,0.7608695652173914,105,117,True
