dataset,epsilon,ncf,n_cal,n_test,n_classes,accepted_top1_accuracy,reject_rate,correct_singleton_rate,error_singleton_rate,ambiguity_rate,novelty_rate,expected_collapse,guarantee_status
whole,0.05,ensured,88,88,3,0.9,0.8863636363636364,0.11363636363636363,0.0,0.8863636363636364,0.0,False,empirical
whole,0.1,default,88,88,3,0.7857142857142857,0.6818181818181818,0.3181818181818182,0.0,0.6818181818181818,0.0,False,empirical
whole,0.1,ensured,88,88,3,0.7857142857142857,0.6818181818181818,0.3181818181818182,0.0,0.6818181818181818,0.0,False,empirical
wine,0.05,default,36,36,3,,1.0,0.0,0.0,1.0,0.0,True,empirical
wine,0.05,ensured,36,36,3,,1.0,0.0,0.0,1.0,0.0,True,empirical
wine,0.1,default,36,36,3,,1.0,0.0,0.0,1.0,0.0,True,empirical
wine,0.1,ensured,36,36,3,,1.0,0.0,0.0,1.0,0.0,True,empirical
wineR,0.05,default,320,320,6,0.896551724137931,0.728125,0.271875,0.015625,0.7125,0.0,False,empirical
wineR,0.05,ensured,320,320,6,0.8842105263157894,0.703125,0.296875,0.0,0.703125,0.0,False,empirical
wineR,0.1,default,320,320,6,0.8484848484848485,0.5875,0.4125,0.06875,0.51875,0.0,False,empirical
wineR,0.1,ensured,320,320,6,0.8389830508474576,0.63125,0.36875,0.0,0.603125,0.028125,False,empirical
wineW,0.05,default,980,980,7,0.8717201166180758,0.65,0.35,0.01020408163265306,0.639795918367347,0.0,False,empirical
wineW,0.05,ensured,980,980,7,0.8579387186629527,0.6336734693877552,0.3663265306122449,0.0,0.6336734693877552,0.0,False,empirical
wineW,0.1,default,980,980,7,0.8130434782608695,0.5306122448979592,0.46938775510204084,0.024489795918367346,0.5061224489795918,0.0,False,empirical
wineW,0.1,ensured,980,980,7,0.8085106382978723,0.6163265306122448,0.3836734693877551,0.0,0.5806122448979592,0.03571428571428571,False,empirical
yeast,0.05,default,297,297,10,0.7671232876712328,0.7542087542087542,0.24579124579124578,0.02356902356902357,0.7306397306397306,0.0,False,empirical
yeast,0.05,ensured,297,297,10,0.75,0.7306397306397306,0.26936026936026936,0.0,0.7306397306397306,0.0,False,empirical
yeast,0.1,default,297,297,10,0.7368421052631579,0.6161616161616161,0.3838383838383838,0.10101010101010101,0.5151515151515151,0.0,False,empirical
yeast,0.1,ensured,297,297,10,0.7008547008547008,0.6060606060606061,0.3939393939393939,0.0,0.5757575757575758,0.030303030303030304,False,empirical
