dataset,seed,epsilon,n_cal,n_test,coverage,lower_ci,upper_ci,violation,structural_violation,reject_rate,singleton_precision,singleton_recall,singleton_correct_count,singleton_count,singleton_precision_recall_defined,accepted_accuracy_empirical
heartH,44,0.1,59,59,0.8983050847457628,0.7916804508244137,0.9617555070892884,True,False,0.3050847457627119,0.8536585365853658,0.5932203389830508,35,41,True,0.8536585365853658
heartH,45,0.01,59,59,1.0,0.9393910990496601,1.0,False,False,1.0,,0.0,0,0,False,
heartH,45,0.05,59,59,0.9491525423728814,0.858512760524745,0.9893887196761202,True,False,0.3559322033898305,0.9210526315789473,0.5932203389830508,35,38,True,0.9210526315789473
heartH,45,0.1,59,59,0.9322033898305084,0.835414827324177,0.9812200365076136,False,False,0.22033898305084745,0.9130434782608695,0.711864406779661,42,46,True,0.9130434782608695
heartH,46,0.01,59,59,1.0,0.9393910990496601,1.0,False,False,1.0,,0.0,0,0,False,
heartH,46,0.05,59,59,0.8813559322033898,0.7707074510425075,0.950944209358734,True,False,0.2711864406779661,0.8372093023255814,0.6101694915254238,36,43,True,0.8372093023255814
heartH,46,0.1,59,59,0.8813559322033898,0.7707074510425075,0.950944209358734,True,False,0.2711864406779661,0.8372093023255814,0.6101694915254238,36,43,True,0.8372093023255814
heartS,42,0.01,54,54,1.0,0.9339684857558858,1.0,False,False,1.0,,0.0,0,0,False,
heartS,42,0.05,54,54,0.8333333333333334,0.707058760885813,0.9208455638299506,True,True,0.2777777777777778,0.7692307692307693,0.5555555555555556,30,39,True,0.7692307692307693
heartS,42,0.1,54,54,0.8148148148148148,0.6857034830197921,0.9074545132942392,True,False,0.2222222222222222,0.7619047619047619,0.5925925925925926,32,42,True,0.7619047619047619
heartS,43,0.01,54,54,1.0,0.9339684857558858,1.0,False,False,1.0,,0.0,0,0,False,
heartS,43,0.05,54,54,0.8518518518518519,0.7288023114378762,0.9338024228387042,True,True,0.3148148148148148,0.7837837837837838,0.5370370370370371,29,37,True,0.7837837837837838
heartS,43,0.1,54,54,0.7222222222222222,0.5835649881631539,0.8354452937232869,True,True,0.037037037037037035,0.75,0.7222222222222222,39,52,True,0.7692307692307693
heartS,44,0.01,54,54,1.0,0.9339684857558858,1.0,False,False,1.0,,0.0,0,0,False,
heartS,44,0.05,54,54,0.9629629629629629,0.8725282277690526,0.9954827437055819,False,False,0.6296296296296297,0.9,0.3333333333333333,18,20,True,0.9
heartS,44,0.1,54,54,0.9259259259259259,0.8210665708339272,0.9794490327019055,False,False,0.24074074074074073,0.9024390243902439,0.6851851851851852,37,41,True,0.9024390243902439
heartS,45,0.01,54,54,1.0,0.9339684857558858,1.0,False,False,1.0,,0.0,0,0,False,
heartS,45,0.05,54,54,0.8888888888888888,0.7736868373700312,0.958116236422146,True,False,0.3888888888888889,0.8181818181818182,0.5,27,33,True,0.8181818181818182
heartS,45,0.1,54,54,0.8888888888888888,0.7736868373700312,0.958116236422146,True,False,0.2777777777777778,0.8461538461538461,0.6111111111111112,33,39,True,0.8461538461538461
heartS,46,0.01,54,54,1.0,0.9339684857558858,1.0,False,False,1.0,,0.0,0,0,False,
heartS,46,0.05,54,54,0.9444444444444444,0.8461149662083893,0.9883932256200587,True,False,0.5370370370370371,0.88,0.4074074074074074,22,25,True,0.88
heartS,46,0.1,54,54,0.9444444444444444,0.8461149662083893,0.9883932256200587,False,False,0.5370370370370371,0.88,0.4074074074074074,22,25,True,0.88
hepati,42,0.01,31,31,1.0,0.88781125307763,1.0,False,False,1.0,,0.0,0,0,False,
hepati,42,0.05,31,31,1.0,0.88781125307763,1.0,False,False,0.6774193548387096,1.0,0.3225806451612903,10,10,True,1.0
hepati,42,0.1,31,31,0.967741935483871,0.8329788837697749,0.9991836299281328,False,False,0.1935483870967742,0.96,0.7741935483870968,24,25,True,0.96
