task_type,dataset,ncf,w,accept_rate,accepted_accuracy,accepted_accuracy_delta
binary,kc1,entropy,1.0,0.27615062761506276,0.8181818181818182,0.05249144161278052
binary,kc1,ensured,0.3,0.03347280334728033,0.625,-0.1406903765690377
binary,kc1,ensured,0.5,0.07112970711297072,0.6470588235294118,-0.11863155303962591
binary,kc1,ensured,0.7,0.16736401673640167,0.8,0.03430962343096233
binary,kc1,ensured,1.0,0.27615062761506276,0.8181818181818182,0.05249144161278052
binary,kc2,hinge,0.3,0.5540540540540541,0.8292682926829268,0.07251153592616999
binary,kc2,hinge,0.5,0.5540540540540541,0.8292682926829268,0.07251153592616999
binary,kc2,hinge,0.7,0.5540540540540541,0.8292682926829268,0.07251153592616999
binary,kc2,hinge,1.0,0.5540540540540541,0.8292682926829268,0.07251153592616999
binary,kc2,margin,0.3,0.0,,
binary,kc2,margin,0.5,0.0,,
binary,kc2,margin,0.7,0.5540540540540541,0.8292682926829268,0.07251153592616999
binary,kc2,margin,1.0,0.5540540540540541,0.8292682926829268,0.07251153592616999
binary,kc2,entropy,0.3,0.05405405405405406,1.0,0.2432432432432432
binary,kc2,entropy,0.5,0.06756756756756757,0.8,0.043243243243243246
binary,kc2,entropy,0.7,0.5540540540540541,0.8292682926829268,0.07251153592616999
binary,kc2,entropy,1.0,0.5540540540540541,0.8292682926829268,0.07251153592616999
binary,kc2,ensured,0.3,0.0,,
binary,kc2,ensured,0.5,0.02702702702702703,0.5,-0.2567567567567568
binary,kc2,ensured,0.7,0.02702702702702703,0.5,-0.2567567567567568
binary,kc2,ensured,1.0,0.5540540540540541,0.8292682926829268,0.07251153592616999
binary,kc3,hinge,0.3,0.8307692307692308,0.8888888888888888,0.042735042735042694
binary,kc3,hinge,0.5,0.8307692307692308,0.8888888888888888,0.042735042735042694
binary,kc3,hinge,0.7,0.8307692307692308,0.8888888888888888,0.042735042735042694
binary,kc3,hinge,1.0,0.8307692307692308,0.8888888888888888,0.042735042735042694
binary,kc3,margin,0.3,0.0,,
binary,kc3,margin,0.5,0.07692307692307693,0.4,-0.4461538461538461
binary,kc3,margin,0.7,0.8307692307692308,0.8888888888888888,0.042735042735042694
binary,kc3,margin,1.0,0.8307692307692308,0.8888888888888888,0.042735042735042694
binary,kc3,entropy,0.3,0.07692307692307693,0.4,-0.4461538461538461
binary,kc3,entropy,0.5,0.0,,
binary,kc3,entropy,0.7,0.8307692307692308,0.8888888888888888,0.042735042735042694
binary,kc3,entropy,1.0,0.8307692307692308,0.8888888888888888,0.042735042735042694
binary,kc3,ensured,0.3,0.06153846153846154,0.25,-0.5961538461538461
binary,kc3,ensured,0.5,0.06153846153846154,0.25,-0.5961538461538461
binary,kc3,ensured,0.7,0.8615384615384616,0.8928571428571429,0.04670329670329676
binary,kc3,ensured,1.0,0.8307692307692308,0.8888888888888888,0.042735042735042694
binary,liver,hinge,0.3,0.4492753623188406,0.9032258064516129,0.19308087891538095
binary,liver,hinge,0.5,0.4492753623188406,0.9032258064516129,0.19308087891538095
binary,liver,hinge,0.7,0.4492753623188406,0.9032258064516129,0.19308087891538095
binary,liver,hinge,1.0,0.4492753623188406,0.9032258064516129,0.19308087891538095
binary,liver,margin,0.3,0.028985507246376812,0.5,-0.21014492753623193
binary,liver,margin,0.5,0.028985507246376812,0.5,-0.21014492753623193
binary,liver,margin,0.7,0.4492753623188406,0.9032258064516129,0.19308087891538095
binary,liver,margin,1.0,0.4492753623188406,0.9032258064516129,0.19308087891538095
binary,liver,entropy,0.3,0.0,,
binary,liver,entropy,0.5,0.0,,
binary,liver,entropy,0.7,0.4492753623188406,0.9032258064516129,0.19308087891538095
binary,liver,entropy,1.0,0.4492753623188406,0.9032258064516129,0.19308087891538095
binary,liver,ensured,0.3,0.2608695652173913,1.0,0.28985507246376807
binary,liver,ensured,0.5,0.2608695652173913,1.0,0.28985507246376807
binary,liver,ensured,0.7,0.2608695652173913,1.0,0.28985507246376807
binary,liver,ensured,1.0,0.4492753623188406,0.9032258064516129,0.19308087891538095
binary,pc1req,hinge,0.3,0.09523809523809523,1.0,0.38095238095238093
binary,pc1req,hinge,0.5,0.09523809523809523,1.0,0.38095238095238093
binary,pc1req,hinge,0.7,0.09523809523809523,1.0,0.38095238095238093
binary,pc1req,hinge,1.0,0.09523809523809523,1.0,0.38095238095238093
binary,pc1req,margin,0.3,0.047619047619047616,0.0,-0.6190476190476191
binary,pc1req,margin,0.5,0.047619047619047616,0.0,-0.6190476190476191
binary,pc1req,margin,0.7,0.09523809523809523,1.0,0.38095238095238093
binary,pc1req,margin,1.0,0.09523809523809523,1.0,0.38095238095238093
binary,pc1req,entropy,0.3,0.0,,
binary,pc1req,entropy,0.5,0.23809523809523808,0.4,-0.21904761904761905
binary,pc1req,entropy,0.7,0.09523809523809523,1.0,0.38095238095238093
binary,pc1req,entropy,1.0,0.09523809523809523,1.0,0.38095238095238093
binary,pc1req,ensured,0.3,0.047619047619047616,1.0,0.38095238095238093
binary,pc1req,ensured,0.5,0.047619047619047616,1.0,0.38095238095238093
binary,pc1req,ensured,0.7,0.047619047619047616,1.0,0.38095238095238093
binary,pc1req,ensured,1.0,0.09523809523809523,1.0,0.38095238095238093
binary,pc4,hinge,0.3,0.8587360594795539,0.9523809523809523,0.06390511594972559
binary,pc4,hinge,0.5,0.8587360594795539,0.9523809523809523,0.06390511594972559
binary,pc4,hinge,0.7,0.8587360594795539,0.9523809523809523,0.06390511594972559
binary,pc4,hinge,1.0,0.8587360594795539,0.9523809523809523,0.06390511594972559
binary,pc4,margin,0.3,0.0,,
binary,pc4,margin,0.5,0.1412639405204461,0.5,-0.38847583643122674
binary,pc4,margin,0.7,0.8587360594795539,0.9523809523809523,0.06390511594972559
binary,pc4,margin,1.0,0.8587360594795539,0.9523809523809523,0.06390511594972559
binary,pc4,entropy,0.3,0.1412639405204461,0.5,-0.38847583643122674
binary,pc4,entropy,0.5,0.137546468401487,0.5945945945945946,-0.2938812418366321
binary,pc4,entropy,0.7,0.8587360594795539,0.9523809523809523,0.06390511594972559
binary,pc4,entropy,1.0,0.8587360594795539,0.9523809523809523,0.06390511594972559
binary,pc4,ensured,0.3,0.011152416356877323,0.6666666666666666,-0.2218091697645601
binary,pc4,ensured,0.5,0.022304832713754646,0.5,-0.38847583643122674
binary,pc4,ensured,0.7,0.8921933085501859,0.925,0.036524163568773305
binary,pc4,ensured,1.0,0.8587360594795539,0.9523809523809523,0.06390511594972559
binary,sonar,hinge,0.3,0.6190476190476191,0.8846153846153846,0.00366300366300365
binary,sonar,hinge,0.5,0.6190476190476191,0.8846153846153846,0.00366300366300365
binary,sonar,hinge,0.7,0.6190476190476191,0.8846153846153846,0.00366300366300365
binary,sonar,hinge,1.0,0.6190476190476191,0.8846153846153846,0.00366300366300365
binary,sonar,margin,0.3,0.0,,
binary,sonar,margin,0.5,0.0,,
binary,sonar,margin,0.7,0.6190476190476191,0.8846153846153846,0.00366300366300365
binary,sonar,margin,1.0,0.6190476190476191,0.8846153846153846,0.00366300366300365
binary,sonar,entropy,0.3,0.09523809523809523,1.0,0.11904761904761907
binary,sonar,entropy,0.5,0.14285714285714285,0.5,-0.38095238095238093
binary,sonar,entropy,0.7,0.6190476190476191,0.8846153846153846,0.00366300366300365
binary,sonar,entropy,1.0,0.6190476190476191,0.8846153846153846,0.00366300366300365
binary,sonar,ensured,0.3,0.19047619047619047,1.0,0.11904761904761907
binary,sonar,ensured,0.5,0.3333333333333333,0.8571428571428571,-0.023809523809523836
binary,sonar,ensured,0.7,0.40476190476190477,0.8235294117647058,-0.05742296918767509
binary,sonar,ensured,1.0,0.6190476190476191,0.8846153846153846,0.00366300366300365
binary,spect,hinge,0.3,0.5681818181818182,0.92,0.033636363636363686
binary,spect,hinge,0.5,0.5681818181818182,0.92,0.033636363636363686
binary,spect,hinge,0.7,0.5681818181818182,0.92,0.033636363636363686
binary,spect,hinge,1.0,0.5681818181818182,0.92,0.033636363636363686
binary,spect,margin,0.3,0.0,,
binary,spect,margin,0.5,0.022727272727272728,1.0,0.11363636363636365
binary,spect,margin,0.7,0.5681818181818182,0.92,0.033636363636363686
binary,spect,margin,1.0,0.5681818181818182,0.92,0.033636363636363686
binary,spect,entropy,0.3,0.045454545454545456,1.0,0.11363636363636365
binary,spect,entropy,0.5,0.1590909090909091,1.0,0.11363636363636365
binary,spect,entropy,0.7,0.09090909090909091,1.0,0.11363636363636365
binary,spect,entropy,1.0,0.5681818181818182,0.92,0.033636363636363686
binary,spect,ensured,0.3,0.0,,
binary,spect,ensured,0.5,0.045454545454545456,1.0,0.11363636363636365
binary,spect,ensured,0.7,0.6136363636363636,0.9259259259259259,0.039562289562289576
binary,spect,ensured,1.0,0.5681818181818182,0.92,0.033636363636363686
binary,spectf,hinge,0.3,0.5740740740740741,0.967741935483871,0.1899641577060932
binary,spectf,hinge,0.5,0.5740740740740741,0.967741935483871,0.1899641577060932
binary,spectf,hinge,0.7,0.5740740740740741,0.967741935483871,0.1899641577060932
binary,spectf,hinge,1.0,0.5740740740740741,0.967741935483871,0.1899641577060932
binary,spectf,margin,0.3,0.0,,
binary,spectf,margin,0.5,0.0,,
binary,spectf,margin,0.7,0.5740740740740741,0.967741935483871,0.1899641577060932
binary,spectf,margin,1.0,0.5740740740740741,0.967741935483871,0.1899641577060932
binary,spectf,entropy,0.3,0.05555555555555555,0.3333333333333333,-0.4444444444444445
binary,spectf,entropy,0.5,0.0,,
binary,spectf,entropy,0.7,0.46296296296296297,0.96,0.18222222222222217
binary,spectf,entropy,1.0,0.5740740740740741,0.967741935483871,0.1899641577060932
binary,spectf,ensured,0.3,0.05555555555555555,0.3333333333333333,-0.4444444444444445
binary,spectf,ensured,0.5,0.05555555555555555,0.3333333333333333,-0.4444444444444445
binary,spectf,ensured,0.7,0.46296296296296297,0.92,0.14222222222222225
binary,spectf,ensured,1.0,0.5740740740740741,0.967741935483871,0.1899641577060932
binary,transfusion,hinge,0.3,0.49504950495049505,0.8,0.0871287128712872
binary,transfusion,hinge,0.5,0.49504950495049505,0.8,0.0871287128712872
binary,transfusion,hinge,0.7,0.49504950495049505,0.8,0.0871287128712872
binary,transfusion,hinge,1.0,0.49504950495049505,0.8,0.0871287128712872
binary,transfusion,margin,0.3,0.009900990099009901,1.0,0.28712871287128716
binary,transfusion,margin,0.5,0.009900990099009901,1.0,0.28712871287128716
binary,transfusion,margin,0.7,0.49504950495049505,0.8,0.0871287128712872
binary,transfusion,margin,1.0,0.49504950495049505,0.8,0.0871287128712872
binary,transfusion,entropy,0.3,0.019801980198019802,1.0,0.28712871287128716
binary,transfusion,entropy,0.5,0.04950495049504951,0.6,-0.11287128712871286
binary,transfusion,entropy,0.7,0.31683168316831684,0.75,0.03712871287128716
binary,transfusion,entropy,1.0,0.49504950495049505,0.8,0.0871287128712872
binary,transfusion,ensured,0.3,0.49504950495049505,0.8,0.0871287128712872
binary,transfusion,ensured,0.5,0.49504950495049505,0.8,0.0871287128712872
binary,transfusion,ensured,0.7,0.49504950495049505,0.8,0.0871287128712872
