arm,strategy,dataset,seed,epsilon,confidence,n_cal,n_test,coverage,lower_ci,upper_ci,violation,structural_violation,reject_rate,singleton_precision,singleton_recall,singleton_correct_count,singleton_count,singleton_precision_recall_defined
C,experimental.difficulty_normalized,heartH,43,0.05,0.95,59,59,0.9830508474576272,0.9091440671133507,0.9995709766671597,False,False,0.5084745762711864,0.9655172413793104,0.4745762711864407,28,29,True
A,builtin.default,heartH,43,0.1,0.9,59,59,0.9491525423728814,0.858512760524745,0.9893887196761202,False,False,0.3220338983050847,0.925,0.6271186440677966,37,40,True
C,experimental.difficulty_normalized,heartH,43,0.1,0.9,59,59,0.9152542372881356,0.8132056645283043,0.9719087432789866,False,False,0.288135593220339,0.8809523809523809,0.6271186440677966,37,42,True
A,builtin.default,heartH,44,0.05,0.95,59,59,0.9152542372881356,0.8132056645283043,0.9719087432789866,True,False,0.3389830508474576,0.8717948717948718,0.576271186440678,34,39,True
C,experimental.difficulty_normalized,heartH,44,0.05,0.95,59,59,0.9322033898305084,0.835414827324177,0.9812200365076136,True,False,0.5423728813559322,0.8518518518518519,0.3898305084745763,23,27,True
A,builtin.default,heartH,44,0.1,0.9,59,59,0.8983050847457628,0.7916804508244137,0.9617555070892884,True,False,0.3050847457627119,0.8536585365853658,0.5932203389830508,35,41,True
C,experimental.difficulty_normalized,heartH,44,0.1,0.9,59,59,0.8813559322033898,0.7707074510425075,0.950944209358734,True,False,0.3728813559322034,0.8108108108108109,0.5084745762711864,30,37,True
A,builtin.default,heartH,45,0.05,0.95,59,59,0.9491525423728814,0.858512760524745,0.9893887196761202,True,False,0.3559322033898305,0.9210526315789473,0.5932203389830508,35,38,True
C,experimental.difficulty_normalized,heartH,45,0.05,0.95,59,59,0.9830508474576272,0.9091440671133507,0.9995709766671597,False,False,0.4576271186440678,0.96875,0.5254237288135594,31,32,True
A,builtin.default,heartH,45,0.1,0.9,59,59,0.9322033898305084,0.835414827324177,0.9812200365076136,False,False,0.22033898305084745,0.9130434782608695,0.711864406779661,42,46,True
C,experimental.difficulty_normalized,heartH,45,0.1,0.9,59,59,0.8983050847457628,0.7916804508244137,0.9617555070892884,True,False,0.3728813559322034,0.8918918918918919,0.559322033898305,33,37,True
A,builtin.default,heartH,46,0.05,0.95,59,59,0.8813559322033898,0.7707074510425075,0.950944209358734,True,False,0.2711864406779661,0.8372093023255814,0.6101694915254238,36,43,True
C,experimental.difficulty_normalized,heartH,46,0.05,0.95,59,59,0.8983050847457628,0.7916804508244137,0.9617555070892884,True,False,0.3728813559322034,0.8378378378378378,0.5254237288135594,31,37,True
A,builtin.default,heartH,46,0.1,0.9,59,59,0.8813559322033898,0.7707074510425075,0.950944209358734,True,False,0.2711864406779661,0.8372093023255814,0.6101694915254238,36,43,True
C,experimental.difficulty_normalized,heartH,46,0.1,0.9,59,59,0.8813559322033898,0.7707074510425075,0.950944209358734,True,False,0.3220338983050847,0.825,0.559322033898305,33,40,True
A,builtin.default,heartS,42,0.05,0.95,54,54,0.8333333333333334,0.707058760885813,0.9208455638299506,True,True,0.2777777777777778,0.7692307692307693,0.5555555555555556,30,39,True
C,experimental.difficulty_normalized,heartS,42,0.05,0.95,54,54,0.8888888888888888,0.7736868373700312,0.958116236422146,True,False,0.5,0.7777777777777778,0.3888888888888889,21,27,True
A,builtin.default,heartS,42,0.1,0.9,54,54,0.8148148148148148,0.6857034830197921,0.9074545132942392,True,False,0.2222222222222222,0.7619047619047619,0.5925925925925926,32,42,True
C,experimental.difficulty_normalized,heartS,42,0.1,0.9,54,54,0.8148148148148148,0.6857034830197921,0.9074545132942392,True,False,0.2222222222222222,0.7619047619047619,0.5925925925925926,32,42,True
A,builtin.default,heartS,43,0.05,0.95,54,54,0.8518518518518519,0.7288023114378762,0.9338024228387042,True,True,0.3148148148148148,0.7837837837837838,0.5370370370370371,29,37,True
C,experimental.difficulty_normalized,heartS,43,0.05,0.95,54,54,0.8333333333333334,0.707058760885813,0.9208455638299506,True,True,0.25925925925925924,0.775,0.5740740740740741,31,40,True
A,builtin.default,heartS,43,0.1,0.9,54,54,0.7222222222222222,0.5835649881631539,0.8354452937232869,True,True,0.037037037037037035,0.75,0.7222222222222222,39,52,True
C,experimental.difficulty_normalized,heartS,43,0.1,0.9,54,54,0.7222222222222222,0.5835649881631539,0.8354452937232869,True,True,0.037037037037037035,0.75,0.7222222222222222,39,52,True
A,builtin.default,heartS,44,0.05,0.95,54,54,0.9629629629629629,0.8725282277690526,0.9954827437055819,False,False,0.6296296296296297,0.9,0.3333333333333333,18,20,True
C,experimental.difficulty_normalized,heartS,44,0.05,0.95,54,54,0.9629629629629629,0.8725282277690526,0.9954827437055819,False,False,0.6296296296296297,0.9,0.3333333333333333,18,20,True
A,builtin.default,heartS,44,0.1,0.9,54,54,0.9259259259259259,0.8210665708339272,0.9794490327019055,False,False,0.24074074074074073,0.9024390243902439,0.6851851851851852,37,41,True
