task_type,dataset,ncf,w,accept_rate,accepted_accuracy,accepted_accuracy_delta,singleton_precision,singleton_recall,singleton_correct_count,singleton_count,singleton_precision_recall_defined
binary,je4243,default,0.5,0.2876712328767123,0.6666666666666666,0.05022831050228305,0.6666666666666666,0.1917808219178082,14,21,True
binary,je4243,default,0.7,0.2876712328767123,0.6666666666666666,0.05022831050228305,0.6666666666666666,0.1917808219178082,14,21,True
binary,je4243,default,1.0,0.2876712328767123,0.6666666666666666,0.05022831050228305,0.6666666666666666,0.1917808219178082,14,21,True
binary,je4243,ensured,0.3,0.1780821917808219,0.5384615384615384,-0.07797681770284515,0.5384615384615384,0.0958904109589041,7,13,True
binary,je4243,ensured,0.5,0.2054794520547945,0.6,-0.016438356164383605,0.6,0.1232876712328767,9,15,True
binary,je4243,ensured,0.7,0.3150684931506849,0.5652173913043478,-0.0512209648600358,0.5652173913043478,0.1780821917808219,13,23,True
binary,je4243,ensured,1.0,0.2876712328767123,0.6666666666666666,0.05022831050228305,0.6666666666666666,0.1917808219178082,14,21,True
binary,kc1,default,0.3,0.27615062761506276,0.8181818181818182,0.05249144161278052,0.8181818181818182,0.22594142259414227,54,66,True
binary,kc1,default,0.5,0.27615062761506276,0.8181818181818182,0.05249144161278052,0.8181818181818182,0.22594142259414227,54,66,True
binary,kc1,default,0.7,0.27615062761506276,0.8181818181818182,0.05249144161278052,0.8181818181818182,0.22594142259414227,54,66,True
binary,kc1,default,1.0,0.27615062761506276,0.8181818181818182,0.05249144161278052,0.8181818181818182,0.22594142259414227,54,66,True
binary,kc1,ensured,0.3,0.03347280334728033,0.625,-0.1406903765690377,0.625,0.02092050209205021,5,8,True
binary,kc1,ensured,0.5,0.07112970711297072,0.6470588235294118,-0.11863155303962591,0.6470588235294118,0.04602510460251046,11,17,True
binary,kc1,ensured,0.7,0.16736401673640167,0.8,0.03430962343096233,0.8,0.13389121338912133,32,40,True
binary,kc1,ensured,1.0,0.27615062761506276,0.8181818181818182,0.05249144161278052,0.8181818181818182,0.22594142259414227,54,66,True
binary,kc2,default,0.3,0.5540540540540541,0.8292682926829268,0.07251153592616999,0.8292682926829268,0.4594594594594595,34,41,True
binary,kc2,default,0.5,0.5540540540540541,0.8292682926829268,0.07251153592616999,0.8292682926829268,0.4594594594594595,34,41,True
binary,kc2,default,0.7,0.5540540540540541,0.8292682926829268,0.07251153592616999,0.8292682926829268,0.4594594594594595,34,41,True
binary,kc2,default,1.0,0.5540540540540541,0.8292682926829268,0.07251153592616999,0.8292682926829268,0.4594594594594595,34,41,True
binary,kc2,ensured,0.3,0.0,,,,0.0,0,0,False
binary,kc2,ensured,0.5,0.02702702702702703,0.5,-0.2567567567567568,0.5,0.013513513513513514,1,2,True
binary,kc2,ensured,0.7,0.02702702702702703,0.5,-0.2567567567567568,0.5,0.013513513513513514,1,2,True
binary,kc2,ensured,1.0,0.5540540540540541,0.8292682926829268,0.07251153592616999,0.8292682926829268,0.4594594594594595,34,41,True
binary,kc3,default,0.3,0.8307692307692308,0.8888888888888888,0.042735042735042694,0.8703703703703703,0.7230769230769231,47,54,True
binary,kc3,default,0.5,0.8307692307692308,0.8888888888888888,0.042735042735042694,0.8703703703703703,0.7230769230769231,47,54,True
binary,kc3,default,0.7,0.8307692307692308,0.8888888888888888,0.042735042735042694,0.8703703703703703,0.7230769230769231,47,54,True
binary,kc3,default,1.0,0.8307692307692308,0.8888888888888888,0.042735042735042694,0.8703703703703703,0.7230769230769231,47,54,True
binary,kc3,ensured,0.3,0.06153846153846154,0.25,-0.5961538461538461,0.25,0.015384615384615385,1,4,True
binary,kc3,ensured,0.5,0.06153846153846154,0.25,-0.5961538461538461,0.25,0.015384615384615385,1,4,True
binary,kc3,ensured,0.7,0.8615384615384616,0.8928571428571429,0.04670329670329676,0.8392857142857143,0.7230769230769231,47,56,True
binary,kc3,ensured,1.0,0.8307692307692308,0.8888888888888888,0.042735042735042694,0.8703703703703703,0.7230769230769231,47,54,True
binary,liver,default,0.3,0.4492753623188406,0.9032258064516129,0.19308087891538095,0.9032258064516129,0.4057971014492754,28,31,True
binary,liver,default,0.5,0.4492753623188406,0.9032258064516129,0.19308087891538095,0.9032258064516129,0.4057971014492754,28,31,True
binary,liver,default,0.7,0.4492753623188406,0.9032258064516129,0.19308087891538095,0.9032258064516129,0.4057971014492754,28,31,True
binary,liver,default,1.0,0.4492753623188406,0.9032258064516129,0.19308087891538095,0.9032258064516129,0.4057971014492754,28,31,True
binary,liver,ensured,0.3,0.2608695652173913,1.0,0.28985507246376807,1.0,0.2608695652173913,18,18,True
binary,liver,ensured,0.5,0.2608695652173913,1.0,0.28985507246376807,1.0,0.2608695652173913,18,18,True
binary,liver,ensured,0.7,0.2608695652173913,1.0,0.28985507246376807,1.0,0.2608695652173913,18,18,True
binary,liver,ensured,1.0,0.4492753623188406,0.9032258064516129,0.19308087891538095,0.9032258064516129,0.4057971014492754,28,31,True
binary,pc1req,default,0.3,0.09523809523809523,1.0,0.38095238095238093,1.0,0.09523809523809523,2,2,True
binary,pc1req,default,0.5,0.09523809523809523,1.0,0.38095238095238093,1.0,0.09523809523809523,2,2,True
binary,pc1req,default,0.7,0.09523809523809523,1.0,0.38095238095238093,1.0,0.09523809523809523,2,2,True
binary,pc1req,default,1.0,0.09523809523809523,1.0,0.38095238095238093,1.0,0.09523809523809523,2,2,True
binary,pc1req,ensured,0.3,0.047619047619047616,1.0,0.38095238095238093,1.0,0.047619047619047616,1,1,True
