dataset,confidence,method,difficulty_estimator,requested_reject_rate,empirical_reject_rate,accepted_coverage,accepted_interval_width,accepted_mae,accepted_mse,interval_coverage_all,mse_all,guarantee_status
friedm,0.95,paper_difficulty_mondrian,default,0.30000000000000004,0.4166666666666667,0.85,0.21917869211099453,0.060337744181705864,0.006014957997064826,0.8958333333333334,0.006323164401236048,target_formal_result
friedm,0.95,paper_difficulty_mondrian,default,0.4,0.5166666666666667,0.853448275862069,0.21085209842438277,0.05739927575201899,0.00539801904531837,0.8958333333333334,0.006323164401236048,target_formal_result
friedm,0.95,paper_difficulty_mondrian,default,0.5,0.575,0.8431372549019608,0.20587468760764677,0.059970091417104576,0.005668967458194986,0.8958333333333334,0.006323164401236048,target_formal_result
friedm,0.95,threshold_baseline,none,0.1,0.008333333333333333,0.8991596638655462,0.2398168138007483,0.05285083970784299,0.00473275526354377,0.9,0.004711798846626634,heuristic
friedm,0.95,threshold_baseline,none,0.2,0.075,0.9054054054054054,0.22891947649227967,0.05369055364005044,0.0046938879513574215,0.9125,0.004557946437079034,heuristic
friedm,0.95,threshold_baseline,none,0.30000000000000004,0.1625,0.8955223880597015,0.24943697986314756,0.05962469852552129,0.0057902063158565735,0.8958333333333334,0.005793397322192906,heuristic
friedm,0.95,threshold_baseline,none,0.4,0.225,0.967741935483871,0.24986340376888014,0.05060106267913899,0.0038745342960667868,0.9583333333333334,0.004072168048610564,heuristic
friedm,0.95,threshold_baseline,none,0.5,0.16666666666666666,0.925,0.2350162034185362,0.05224706798564327,0.00437509470311043,0.9166666666666666,0.004451495909068089,heuristic
friedm,0.95,value_bin_width_baseline,predicted_value_bins,,0.0,0.8458333333333333,0.24416486149194666,0.06298822625073423,0.006533769452903755,0.8458333333333333,0.006533769452903755,heuristic
friedm,0.95,value_bin_width_baseline,predicted_value_bins,,0.0,0.9333333333333333,0.31638743847466877,0.06330878592641383,0.006362666179243594,0.9333333333333333,0.006362666179243594,heuristic
heating,0.95,paper_difficulty_mondrian,default,0.1,0.11038961038961038,0.927007299270073,0.055426217663991084,0.009586362288483927,0.00019285659945195686,0.9285714285714286,0.00021772713294316052,target_formal_result
