seed,model,n_dim,method,significance,metric,value
1,logreg,10,standard,0.1,representative_violation_rate,0.033
1,logreg,10,standard,0.1,rule_count,9.274
1,logreg,10,standard,0.1,candidate_violation_auroc,
1,logreg,10,multibin_noguard,0.1,representative_violation_rate,0.002004008016032064
1,logreg,10,multibin_noguard,0.1,rule_count,9.692
1,logreg,10,multibin_noguard,0.1,candidate_violation_auroc,0.8743526998016251
1,logreg,10,guarded,0.1,representative_violation_rate,0.0011441647597254005
1,logreg,10,guarded,0.1,rule_count,7.946
1,logreg,10,guarded,0.1,candidate_violation_auroc,0.8743526998016251
1,logreg,10,random_pruned_multibin,0.1,representative_violation_rate,0.0012091898428053204
1,logreg,10,random_pruned_multibin,0.1,rule_count,7.946
1,logreg,10,random_pruned_multibin,0.1,candidate_violation_auroc,
1,logreg,10,standard,0.2,representative_violation_rate,0.033
1,logreg,10,standard,0.2,rule_count,9.274
1,logreg,10,standard,0.2,candidate_violation_auroc,
1,logreg,10,multibin_noguard,0.2,representative_violation_rate,0.002004008016032064
1,logreg,10,multibin_noguard,0.2,rule_count,9.692
1,logreg,10,multibin_noguard,0.2,candidate_violation_auroc,0.8743526998016251
1,logreg,10,guarded,0.2,representative_violation_rate,0.0
1,logreg,10,guarded,0.2,rule_count,6.906
1,logreg,10,guarded,0.2,candidate_violation_auroc,0.8743526998016251
1,logreg,10,random_pruned_multibin,0.2,representative_violation_rate,0.0027472527472527475
1,logreg,10,random_pruned_multibin,0.2,rule_count,6.906
1,logreg,10,random_pruned_multibin,0.2,candidate_violation_auroc,
1,rf,2,standard,0.01,representative_violation_rate,0.02
1,rf,2,standard,0.01,rule_count,2.0
1,rf,2,standard,0.01,candidate_violation_auroc,
1,rf,2,multibin_noguard,0.01,representative_violation_rate,0.002
1,rf,2,multibin_noguard,0.01,rule_count,2.0
1,rf,2,multibin_noguard,0.01,candidate_violation_auroc,0.9625797531499336
1,rf,2,guarded,0.01,representative_violation_rate,0.0010111223458038423
1,rf,2,guarded,0.01,rule_count,1.978
1,rf,2,guarded,0.01,candidate_violation_auroc,0.9625797531499336
1,rf,2,random_pruned_multibin,0.01,representative_violation_rate,0.0020222446916076846
1,rf,2,random_pruned_multibin,0.01,rule_count,1.978
1,rf,2,random_pruned_multibin,0.01,candidate_violation_auroc,
1,rf,2,standard,0.05,representative_violation_rate,0.02
1,rf,2,standard,0.05,rule_count,2.0
1,rf,2,standard,0.05,candidate_violation_auroc,
1,rf,2,multibin_noguard,0.05,representative_violation_rate,0.002
1,rf,2,multibin_noguard,0.05,rule_count,2.0
1,rf,2,multibin_noguard,0.05,candidate_violation_auroc,0.9625797531499336
1,rf,2,guarded,0.05,representative_violation_rate,0.0010395010395010396
1,rf,2,guarded,0.05,rule_count,1.924
1,rf,2,guarded,0.05,candidate_violation_auroc,0.9625797531499336
1,rf,2,random_pruned_multibin,0.05,representative_violation_rate,0.002079002079002079
1,rf,2,random_pruned_multibin,0.05,rule_count,1.924
1,rf,2,random_pruned_multibin,0.05,candidate_violation_auroc,
1,rf,2,standard,0.1,representative_violation_rate,0.02
1,rf,2,standard,0.1,rule_count,2.0
1,rf,2,standard,0.1,candidate_violation_auroc,
1,rf,2,multibin_noguard,0.1,representative_violation_rate,0.002
1,rf,2,multibin_noguard,0.1,rule_count,2.0
1,rf,2,multibin_noguard,0.1,candidate_violation_auroc,0.9625797531499336
1,rf,2,guarded,0.1,representative_violation_rate,0.0
1,rf,2,guarded,0.1,rule_count,1.83
1,rf,2,guarded,0.1,candidate_violation_auroc,0.9625797531499336
1,rf,2,random_pruned_multibin,0.1,representative_violation_rate,0.002185792349726776
1,rf,2,random_pruned_multibin,0.1,rule_count,1.83
1,rf,2,random_pruned_multibin,0.1,candidate_violation_auroc,
1,rf,2,standard,0.2,representative_violation_rate,0.02
1,rf,2,standard,0.2,rule_count,2.0
1,rf,2,standard,0.2,candidate_violation_auroc,
1,rf,2,multibin_noguard,0.2,representative_violation_rate,0.002
1,rf,2,multibin_noguard,0.2,rule_count,2.0
1,rf,2,multibin_noguard,0.2,candidate_violation_auroc,0.9625797531499336
1,rf,2,guarded,0.2,representative_violation_rate,0.0
1,rf,2,guarded,0.2,rule_count,1.626
1,rf,2,guarded,0.2,candidate_violation_auroc,0.9625797531499336
1,rf,2,random_pruned_multibin,0.2,representative_violation_rate,0.0024600246002460025
1,rf,2,random_pruned_multibin,0.2,rule_count,1.626
1,rf,2,random_pruned_multibin,0.2,candidate_violation_auroc,
