file,line,name,type,category,pattern,message
tests\unit\core\test_wrap_explainer_helpers.py,109,_serialise_preprocessor_value,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\core\wrap_explainer.py
tests\unit\core\test_wrap_explainer_helpers.py,119,_extract_preprocessor_snapshot,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\core\wrap_explainer.py
tests\unit\core\test_wrap_explainer_helpers.py,136,_build_preprocessor_metadata,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\core\wrap_explainer.py
tests\unit\core\test_wrap_explainer_helpers.py,148,_pre_fit_preprocess,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\core\wrap_explainer.py
tests\unit\core\test_wrap_explainer_helpers.py,152,_pre_transform,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\core\wrap_explainer.py
tests\unit\core\test_wrap_explainer_helpers.py,156,_maybe_preprocess_for_inference,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\core\wrap_explainer.py
tests\unit\core\test_wrap_explainer_helpers.py,170,_pre_fit_preprocess,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\core\wrap_explainer.py
tests\unit\core\test_wrap_explainer_helpers.py,172,_pre_fitted,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\core\wrap_explainer.py
tests\unit\core\test_wrap_explainer_helpers.py,174,_pre_transform,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\core\wrap_explainer.py
tests\unit\core\test_wrap_explainer_helpers.py,185,_finalize_fit,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\core\wrap_explainer.py
tests\unit\core\test_wrap_explainer_helpers.py,197,_format_proba_output,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\core\wrap_explainer.py
tests\unit\core\test_wrap_explainer_helpers.py,202,_format_proba_output,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\core\wrap_explainer.py
tests\unit\core\test_wrap_explainer_helpers.py,206,_format_proba_output,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\core\wrap_explainer.py
tests\unit\core\test_wrap_explainer_helpers.py,405,_pre_fit_preprocess,attribute,Category A: Internal Logic Testing,Pattern 1 (Internal Logic Fix),Defined in calibrated_explanations\core\wrap_explainer.py
